index,carat,cut,color,clarity,depth,table,price,x,y,z
20311,1.06,Ideal,G,VVS2,61.4,57,8726,6.52,6.55,4.01
20362,1.09,Ideal,G,VVS2,61.8,56,8753,6.58,6.62,4.08
20377,0.31,Ideal,H,VVS2,62.4,57,625,4.32,4.36,2.71
20448,1.51,Premium,I,SI1,62.7,61,8794,7.33,7.27,4.58
20558,1.2,Very Good,F,VS2,63.5,57,8870,6.73,6.65,4.25
20569,1.51,Fair,I,VS2,64.8,60,8879,7.18,7.1,4.63
20577,1.71,Premium,J,VS2,60.3,61,8887,7.74,7.69,4.65
20613,1.14,Very Good,F,VVS2,63.3,56,8912,6.56,6.71,4.2
20682,1.26,Ideal,H,VS1,61,57,8959,6.97,7.03,4.27
20772,1.5,Very Good,D,SI2,58.7,57,9009,7.42,7.48,4.37
20918,1.03,Ideal,F,VVS2,62.1,55,9131,6.47,6.5,4.03
20934,1.01,Very Good,E,VVS2,63.3,55,9140,6.41,6.36,4.04
20952,1.2,Very Good,G,VVS2,60.7,60,9169,6.8,6.84,4.14
20983,1.71,Premium,H,SI1,58.1,59,9193,7.88,7.81,4.56
21012,1.17,Ideal,G,VVS2,60.6,56,9225,6.87,6.84,4.15
21019,1.01,Premium,F,VVS2,60.4,59,9231,6.49,6.45,3.91
21065,1.24,Ideal,E,VS2,62,57,9240,6.87,6.9,4.27
21124,1.21,Ideal,G,VS1,62,55,9287,6.84,6.88,4.25
21194,1.51,Good,E,SI2,63.1,58,9343,7.28,7.31,4.6
21237,1.5,Very Good,G,SI2,63.1,57,9384,7.29,7.25,4.59
21294,1.21,Ideal,E,VS2,60.3,60,9449,6.92,6.88,4.16
21310,1.04,Ideal,G,VVS2,61.7,56,9465,6.5,6.54,4.02
21346,1.27,Ideal,G,VS2,61.9,57,9489,6.9,6.93,4.28
21376,0.34,Very Good,D,SI1,60.2,60,626,4.5,4.54,2.72
21452,1.72,Premium,H,SI1,62,57,9551,7.67,7.63,4.74
21465,1.54,Ideal,H,SI1,61.1,56,9562,7.45,7.42,4.54
21484,1.35,Premium,G,VS2,61.1,58,9580,7.16,7.12,4.36
21509,1.62,Ideal,I,VS2,62.4,57,9604,7.45,7.51,4.67
21528,1.06,Ideal,D,VS1,62,57,9625,6.49,6.54,4.04
21541,1.01,Very Good,E,VVS2,63.4,56,9642,6.32,6.37,4.02
21590,1.51,Very Good,H,SI1,62.1,59,9694,7.28,7.33,4.54
21612,1.04,Very Good,E,VVS2,62.8,58,9705,6.42,6.45,4.04
21627,1.53,Premium,F,SI2,62.6,57,9716,7.37,7.33,4.6
21642,1.11,Ideal,G,VVS2,61.8,56,9734,6.66,6.69,4.12
21661,1.5,Very Good,I,VS1,60.4,59,9759,7.35,7.42,4.46
21763,1.5,Ideal,E,SI1,61.9,57,9828,7.37,7.31,4.54
21791,1.05,Premium,E,VVS2,59.6,60,9858,6.61,6.58,3.93
21811,1.04,Premium,E,VVS2,62.8,58,9882,6.45,6.42,4.04
21837,1.16,Ideal,G,IF,62,57,9901,6.7,6.73,4.16
21903,1.01,Very Good,F,IF,63.5,59,9972,6.29,6.41,4.03
21916,1.5,Very Good,H,SI1,61,55,9987,7.35,7.44,4.51
21925,1.23,Very Good,G,VVS2,62.2,57,9999,6.8,6.87,4.25
22095,1.25,Ideal,D,VS2,62.6,56,10114,6.87,6.84,4.29
22140,1.21,Ideal,F,VS2,61.5,54,10177,6.88,6.89,4.24
22317,1.58,Ideal,J,VVS1,61.5,56,10357,7.48,7.5,4.61
22409,1.21,Very Good,E,VS1,60,58,10430,6.89,6.97,4.16
22539,1,Ideal,F,VVS2,61.3,53,10577,6.44,6.48,3.96
22603,1.51,Ideal,I,VS1,63.2,57,10655,7.4,7.28,4.62
22630,1.57,Very Good,I,VS1,62.7,58,10682,7.41,7.43,4.65
22651,1.51,Good,E,SI1,63.5,57,10696,7.23,7.28,4.61
22712,1.53,Premium,I,VS1,62.4,59,10729,7.3,7.34,4.57
22804,2.02,Ideal,H,SI2,62.1,57,10826,8.13,8.09,5.04
22904,1.71,Ideal,J,VVS2,61.6,59,10945,7.65,7.68,4.72
22919,1.51,Ideal,H,VS2,64.2,59,10959,7.22,7.16,4.62
22949,1.06,Ideal,F,IF,61,57,10995,6.55,6.64,4.02
23002,2.02,Premium,I,VS2,61.2,60,11059,8.22,8.13,5
23076,1.52,Ideal,G,SI1,60.3,57,11105,7.47,7.51,4.52
23135,1.66,Ideal,I,VS2,62.3,54,11156,7.58,7.61,4.73
23137,2.01,Fair,E,SI2,65.5,56,11156,7.84,7.79,5.12
23146,1.51,Ideal,H,SI1,62.3,54,11163,7.37,7.33,4.58
23158,1.21,Premium,F,VVS1,63,59,11175,6.75,6.7,4.24
23169,1.2,Good,F,VVS1,63.6,57,11182,6.74,6.71,4.28
23189,1.06,Ideal,F,IF,61,57,11195,6.64,6.55,4.02
23205,1.51,Good,D,SI1,63.6,61,11212,7.1,7.25,4.56
23212,1.5,Very Good,H,VS2,60,62,11220,7.38,7.41,4.44
23264,1.04,Very Good,E,IF,63.6,58,11269,6.41,6.43,4.08
23289,2.08,Good,I,SI2,57,63,11313,8.49,8.45,4.83
23311,1.71,Premium,G,SI2,60.9,58,11351,7.72,7.68,4.69
23430,1.28,Ideal,E,VS1,61.7,57,11419,6.93,6.97,4.29
23432,1.53,Premium,G,SI1,62.3,58,11421,7.35,7.3,4.56
23455,1.91,Ideal,J,SI1,60.7,56,11447,8.01,8.09,4.89
23459,1.71,Ideal,I,VS2,60.5,56,11455,7.71,7.73,4.67
23563,1.02,Ideal,D,VVS2,62.2,59,11573,6.41,6.46,4
23587,1.55,Very Good,H,VS2,61.3,61,11602,7.39,7.46,4.55
23602,1.51,Ideal,E,SI1,61.3,57,11628,7.35,7.42,4.53
23691,2.19,Good,I,SI2,63.7,57,11756,8.23,8.19,5.23
23726,0.25,Very Good,E,VVS1,62.3,55,633,4.04,4.06,2.52
23829,1.56,Premium,F,SI1,60.7,59,11901,7.55,7.45,4.55
23858,1.8,Premium,I,SI1,61.9,60,11948,7.78,7.74,4.8
23938,1.5,Premium,D,SI1,62.4,58,12069,7.27,7.31,4.55
24057,0.31,Ideal,I,IF,62,54,635,4.36,4.42,2.72
24082,1.56,Premium,D,SI1,62.6,58,12226,7.36,7.44,4.63
24250,1.58,Very Good,H,VVS2,60.9,58,12459,7.56,7.65,4.63
24252,1.51,Ideal,F,SI1,62.3,57,12459,7.33,7.3,4.56
24341,2.01,Ideal,J,SI1,62.3,57,12607,8.05,7.99,5
24360,1.58,Ideal,F,SI1,60.3,56,12621,7.56,7.62,4.58
24368,0.31,Ideal,D,VS2,62.1,55,636,4.32,4.38,2.7
24379,0.31,Ideal,E,VS1,60.1,55,638,4.42,4.53,2.69
24405,1.58,Premium,G,VS1,62.1,59,12645,7.46,7.43,4.62
24428,2.02,Premium,H,SI2,61.7,61,12680,8.14,8.08,5.01
24434,1.65,Very Good,H,VS1,62,54,12686,7.55,7.62,4.7
24510,1.13,Ideal,D,VVS2,62.3,54,12788,6.64,6.7,4.16
24528,1.66,Very Good,E,SI1,61.7,58,12818,7.52,7.59,4.66
24537,2.18,Good,H,SI1,63.8,57,12825,8.24,8.17,5.23
24564,2.18,Very Good,J,SI2,62.6,58,12853,8.23,8.25,5.16
24565,2.05,Premium,G,SI2,62.1,56,12857,8.18,8.1,5.04
24590,1.51,Premium,F,VS2,61.8,56,12899,7.46,7.32,4.57
24614,1.81,Premium,I,VS2,62.7,58,12939,7.77,7.68,4.84
24743,2.09,Premium,J,SI2,60,60,13092,8.32,8.37,5.01
24803,2.1,Ideal,I,SI1,61.7,55,13182,8.21,8.13,5.04
24831,1.53,Very Good,G,VS1,60.3,59,13228,7.52,7.58,4.55
24873,1.64,Ideal,F,SI1,61.8,55,13289,7.6,7.58,4.69
24880,1.7,Premium,H,VS2,62.4,57,13298,7.6,7.54,4.72
24919,1.91,Premium,I,SI1,60.9,53,13367,8.11,8.07,4.93
24930,1.5,Ideal,G,VS1,61.8,56,13377,7.38,7.31,4.54
25053,1.58,Ideal,E,SI1,61,57,13557,7.55,7.5,4.59
25180,2,Fair,H,SI1,61.2,50,13764,8.17,8.08,4.97
25299,2.08,Good,I,SI2,63.8,58,13956,8.02,8.1,5.14
25464,2.1,Very Good,J,VS2,61.3,59,14229,8.21,8.27,5.05
25559,2.15,Ideal,I,SI2,61.7,55,14388,8.24,8.43,5.14
25639,2.04,Very Good,I,SI2,60.9,57,14527,8.14,8.19,4.97
25647,1.51,Premium,G,VS1,62.2,58,14542,7.29,7.35,4.55
25650,2.51,Premium,H,SI2,60.6,61,14543,8.88,8.68,5.29
25752,1.52,Ideal,G,VS2,61.4,56,14692,7.39,7.47,4.56
25781,2.06,Fair,J,VS1,64.6,58,14750,7.91,8.04,5.15
25863,2.04,Premium,H,SI2,60.8,58,14945,8.23,8.14,4.98
25864,2.08,Premium,I,SI2,62.3,58,14947,8.18,8.13,5.08
25894,1.5,Very Good,F,VS1,61.6,58,15022,7.35,7.43,4.55
26010,1.52,Ideal,E,VS2,62.2,57,15239,7.34,7.38,4.58
26195,2.01,Fair,G,SI2,65.6,56,15562,7.89,7.84,6.16
26227,1.52,Very Good,F,VS2,62.9,53.3,15649,7.31,7.36,4.61
26306,1.7,Premium,E,SI1,61.8,58,15804,7.62,7.52,4.68
26455,2.07,Premium,I,SI1,62.3,60,15992,8.16,8.12,5.07
26472,1.53,Premium,E,VS2,61.6,58,16049,7.35,7.32,4.52
26508,1.2,Ideal,D,VVS2,61.9,56,16130,6.81,6.83,4.22
26541,2.09,Very Good,F,SI2,62.5,60,16210,8.14,8.06,5.06
26609,2.54,Very Good,H,SI2,63.5,56,16353,8.68,8.65,5.5
26692,0.28,Very Good,H,VS1,61.9,56,429,4.18,4.2,2.59
26823,2.17,Ideal,I,SI1,62.1,57,16716,8.26,8.32,5.15
26838,2.01,Good,H,SI1,62.2,58,16737,7.99,8.05,4.99
26845,2.01,Good,D,SI2,59.9,65,16776,8.07,8,4.81
26872,2.04,Ideal,H,SI2,61.5,57,16800,8.15,8.18,5.02
26897,2.01,Premium,F,SI2,60.3,60,16881,8.11,8.08,4.88
27028,2.42,Premium,J,VS2,61.3,59,17168,8.61,8.58,5.27
27176,2,Good,H,SI1,58,58,17447,8.21,8.26,4.78
27248,1.51,Ideal,E,VS1,62.2,57,17649,7.37,7.32,4.57
27327,2,Good,F,SI1,63,64,17869,7.67,7.76,4.86
27353,2.39,Very Good,J,VS1,59.6,60,17920,8.71,8.77,5.21
27373,0.34,Ideal,H,SI1,61.5,55,647,4.53,4.55,2.79
27470,2.04,Very Good,I,VS1,61.8,60,18127,8.11,8.21,5.04
27515,3.01,Premium,I,SI2,60.2,59,18242,9.36,9.31,5.62
27565,2,Premium,H,SI1,63,56,18371,7.98,7.93,5.01
27574,2.02,Very Good,H,VS2,62.7,58,18398,7.96,8.01,5.01
27605,2.15,Ideal,H,SI1,61.5,60,18470,8.17,8.29,5.06
27630,2.22,Ideal,I,VS2,61.3,56,18531,8.45,8.36,5.15
27664,2.29,Premium,I,VS2,60.8,60,18653,8.47,8.5,5.16
27682,2.22,Premium,J,VS1,60,60,18706,8.49,8.43,5.08
27733,1.71,Ideal,G,VVS2,62.1,55,18768,7.66,7.63,4.75
27768,0.32,Premium,H,VS2,60.7,61,648,4.41,4.39,2.67
27771,0.32,Ideal,H,VS2,62,55,648,4.4,4.38,2.72
27790,0.37,Premium,E,SI1,59.3,58,649,4.73,4.75,2.81
27808,0.23,Ideal,F,VVS2,61.6,54,650,3.97,3.99,2.45
27936,0.28,Ideal,G,SI1,60.7,56,430,4.25,4.28,2.59
27957,0.27,Ideal,I,VS1,61.9,55,432,4.16,4.18,2.58
28003,0.3,Premium,E,VS2,61.6,58,658,4.31,4.33,2.66
28101,0.31,Very Good,F,SI1,63.1,55,663,4.34,4.28,2.72
28102,0.34,Ideal,G,VS2,62.4,57,663,4.48,4.46,2.79
28103,0.31,Ideal,F,SI1,62.3,56,663,4.35,4.32,2.7
28116,0.42,Ideal,F,SI2,62.1,56,663,4.8,4.83,2.99
28143,0.3,Ideal,G,VVS2,61.8,54,665,4.33,4.34,2.68
28153,0.3,Ideal,H,VVS1,61.1,58,665,4.33,4.35,2.65
28198,0.4,Premium,D,SI2,61.1,58,666,4.73,4.76,2.9
28200,0.4,Premium,E,SI2,61.4,59,666,4.7,4.75,2.9
28210,0.4,Premium,D,SI2,62.4,58,666,4.69,4.73,2.94
28272,0.32,Good,D,I1,64,54,361,4.33,4.36,2.78
28393,0.33,Good,H,VS2,63.8,55,668,4.44,4.4,2.82
28428,0.3,Ideal,D,VS2,61.4,54,670,4.34,4.39,2.68
28445,0.31,Ideal,G,VVS2,61.5,57,671,4.32,4.36,2.67
28476,0.32,Ideal,G,VS2,62.4,55,672,4.39,4.36,2.73
28495,0.3,Ideal,E,VS2,61.8,55,673,4.32,4.33,2.68
28607,0.3,Premium,E,SI1,61.3,60,675,4.31,4.27,2.63
28616,0.3,Premium,E,SI1,62.5,60,675,4.27,4.24,2.66
28823,0.41,Good,H,SI1,63.8,56,683,4.69,4.74,3.01
28866,0.37,Good,H,SI1,64,55,684,4.57,4.53,2.91
28939,0.3,Very Good,G,VVS2,62.9,55,684,4.3,4.32,2.71
28957,0.31,Good,I,VS2,63.2,55,435,4.3,4.4,2.75
29099,0.36,Ideal,D,SI2,62.3,57,689,4.57,4.52,2.83
29156,0.3,Ideal,H,VS1,61.5,57,693,4.27,4.31,2.64
29217,0.38,Ideal,G,SI1,60.6,57,695,4.71,4.76,2.87
29437,0.42,Premium,H,SI1,60.9,58,700,4.84,4.85,2.95
29565,0.41,Good,F,SI1,63.4,57,705,4.73,4.74,3
29569,0.41,Very Good,E,SI1,60.5,63,705,4.77,4.81,2.9
29717,0.31,Ideal,G,VVS2,61.9,55,707,4.33,4.36,2.69
29788,0.3,Ideal,D,SI1,61.4,55,709,4.34,4.29,2.65
29799,0.3,Ideal,D,SI1,62.2,55,709,4.33,4.29,2.68
30064,0.34,Ideal,G,VS1,60.6,57,720,4.52,4.57,2.75
30113,0.32,Premium,G,VS2,60.5,58,720,4.42,4.41,2.67
30180,0.39,Premium,H,SI2,62.4,59,721,4.65,4.58,2.88
30200,0.42,Good,F,SI1,63.3,56,722,4.75,4.79,3.02
30259,0.34,Very Good,D,VS1,59.8,57,725,4.54,4.59,2.73
30314,0.4,Ideal,D,SI1,61.3,57,726,4.74,4.79,2.92
30475,0.31,Ideal,I,VVS1,62,54,732,4.37,4.34,2.7
30530,0.38,Premium,D,SI1,60.7,60,733,4.63,4.69,2.83
30632,0.31,Ideal,D,VS2,62.2,55,734,4.31,4.34,2.69
30641,0.36,Ideal,I,IF,62,55,735,4.59,4.61,2.85
30661,0.3,Premium,F,VVS2,61.6,58,737,4.28,4.35,2.66
30723,0.41,Good,D,SI1,63.3,55,738,4.74,4.77,3.01
30759,0.25,Premium,E,VVS2,61.5,59,740,4.04,4.02,2.48
30841,0.33,Premium,H,VS1,61,59,743,4.5,4.45,2.73
30876,0.33,Premium,E,SI1,60.4,59,743,4.47,4.43,2.69
30893,0.38,Very Good,E,VS2,60.4,58,744,4.67,4.7,2.83
30919,0.34,Ideal,E,VS2,62.4,54,745,4.48,4.49,2.8
30963,0.36,Ideal,G,VS1,61.3,56,746,4.6,4.64,2.83
30993,0.37,Premium,G,VS1,59.5,58,746,4.67,4.71,2.79
31017,0.31,Very Good,G,VVS1,61.5,55,749,4.36,4.4,2.69
31021,0.37,Premium,I,VS1,61.4,59,749,4.61,4.55,2.81
31044,0.33,Ideal,F,VVS2,62.4,55,750,4.43,4.45,2.77
31124,0.43,Very Good,G,SI1,60.4,58,754,4.87,4.9,2.95
31175,0.35,Ideal,G,VVS2,61.8,55,756,4.54,4.56,2.81
31191,0.32,Ideal,D,SI1,62,57,756,4.42,4.38,2.73
31433,0.3,Ideal,H,IF,61.2,56,764,4.36,4.37,2.67
31474,0.34,Premium,H,VS1,60.8,59,765,4.53,4.48,2.74
31516,0.34,Premium,E,SI1,60.3,57,765,4.56,4.53,2.74
31551,0.31,Ideal,D,VS1,60.5,57,766,4.4,4.43,2.67
31601,0.2,Premium,D,VS2,62.3,60,367,3.73,3.68,2.31
31742,0.41,Premium,G,VS2,60.7,59,772,4.8,4.85,2.93
31785,0.42,Premium,F,SI1,60,59,773,4.85,4.88,2.92
31786,0.42,Ideal,E,SI1,61.5,55,773,4.82,4.9,2.99
31936,0.3,Premium,F,VS2,60.6,60,776,4.39,4.36,2.65
31956,0.31,Ideal,I,VS2,61.4,55,452,4.35,4.41,2.69
31984,0.3,Ideal,F,VS2,62.7,57,776,4.31,4.27,2.69
31987,0.3,Premium,F,VS2,61.5,60,776,4.29,4.26,2.63
32040,0.3,Ideal,E,VVS2,62.3,54.1,779,4.28,4.34,2.69
32066,0.33,Ideal,D,SI1,62.8,56,780,4.43,4.39,2.77
32074,0.36,Very Good,F,VS1,61.3,54,781,4.63,4.65,2.84
32102,0.33,Ideal,D,VS2,62.5,56,781,4.43,4.46,2.78
32111,0.47,Ideal,H,SI2,61.8,54,782,5.01,5.05,3.11
32136,0.3,Ideal,E,VVS2,60.9,57,786,4.32,4.35,2.64
32148,0.4,Good,D,VS2,63.2,57,786,4.65,4.71,2.96
32160,0.39,Ideal,G,VS2,62.2,53.9,787,4.66,4.69,2.9
32193,0.35,Premium,H,VS1,62.6,58,788,4.52,4.49,2.82
32211,0.31,Premium,D,VS1,59.7,58,788,4.4,4.45,2.64
32237,0.31,Ideal,G,VVS1,61,56,789,4.36,4.4,2.67
32280,0.3,Ideal,G,VVS1,62.3,54,789,4.31,4.33,2.69
32300,0.34,Ideal,E,SI2,61.4,55,454,4.5,4.52,2.77
32315,0.36,Ideal,E,VS2,60.8,56,789,4.6,4.64,2.81
32360,0.36,Premium,E,VS2,62,58,789,4.54,4.56,2.82
32367,0.32,Ideal,E,VVS2,62,54,790,4.41,4.43,2.74
32444,0.43,Premium,F,SI1,61.3,60,792,4.83,4.86,2.97
32513,0.4,Ideal,D,SI2,61.3,56,798,4.77,4.72,2.91
32583,0.31,Premium,F,VVS1,59.7,59,801,4.45,4.49,2.67
32604,0.31,Premium,F,VS2,59.7,60,802,4.42,4.39,2.63
32606,0.31,Ideal,G,VS1,61.3,56,802,4.38,4.36,2.68
32642,0.31,Ideal,H,VVS2,62.5,55,802,4.37,4.34,2.72
32681,0.31,Premium,G,VS1,62.1,58,802,4.36,4.31,2.69
32690,0.31,Good,G,VS1,63.8,57,802,4.33,4.29,2.75
32696,0.31,Ideal,F,VS2,60.8,56,802,4.41,4.38,2.67
32745,0.31,Ideal,D,VS2,60.7,57,803,4.37,4.4,2.66
32767,0.34,Ideal,D,SI1,61.2,57,803,4.51,4.48,2.75
32789,0.32,Ideal,D,VVS2,60.3,58,804,4.43,4.46,2.68
32852,0.4,Ideal,G,VS2,61.2,57,807,4.73,4.78,2.91
32901,0.3,Very Good,I,IF,63.3,56,810,4.26,4.21,2.68
32915,0.42,Very Good,D,SI1,62.8,58,810,4.76,4.79,3
32926,0.42,Ideal,D,SI1,61.9,57,810,4.77,4.82,2.97
33125,0.31,Very Good,G,VVS1,62.5,57,816,4.3,4.4,2.72
33144,0.31,Premium,G,VVS1,62.2,59,816,4.3,4.32,2.68
33154,0.31,Premium,G,VVS1,59.5,60,816,4.39,4.41,2.62
33200,0.3,Premium,G,VVS2,62.9,58,819,4.29,4.26,2.69
33262,0.34,Ideal,E,VVS2,62.3,55,826,4.49,4.53,2.81
33333,0.41,Good,I,VVS2,63.5,57,827,4.72,4.76,3.01
33368,0.41,Very Good,H,VS1,62,56,827,4.74,4.78,2.95
33519,0.33,Ideal,F,VVS1,62,59,829,4.42,4.45,2.75
33572,0.45,Ideal,G,SI1,61.6,54,831,4.96,4.98,3.06
33670,0.38,Ideal,I,VVS2,62,55,836,4.65,4.67,2.89
33681,0.3,Ideal,E,VVS2,61.3,54,837,4.34,4.37,2.67
33989,0.42,Very Good,G,VS2,60.1,61,847,4.81,4.84,2.9
34094,0.43,Ideal,I,SI1,60.9,57,852,4.88,4.9,2.98
34127,0.39,Very Good,G,VVS1,62.7,58,854,4.65,4.69,2.93
34193,0.33,Premium,F,VS2,60.8,58,854,4.47,4.44,2.71
34260,0.3,Ideal,F,VVS1,62.6,56,857,4.26,4.29,2.67
34433,0.3,Ideal,G,IF,62.3,55,863,4.3,4.33,2.69
34452,0.32,Ideal,I,IF,60.8,54,864,4.47,4.44,2.71
34559,0.41,Very Good,D,VS2,63.8,56,871,4.69,4.74,3.01
34596,0.27,Very Good,E,VS2,63.1,57,470,4.07,4.11,2.58
34630,0.31,Ideal,E,VS2,61.6,56,872,4.4,4.37,2.7
35076,0.3,Very Good,F,IF,62,58,886,4.28,4.3,2.66
35084,0.3,Ideal,F,IF,61.8,54,886,4.34,4.36,2.69
35096,0.3,Ideal,F,IF,61.7,58,886,4.3,4.32,2.66
35157,0.31,Very Good,G,IF,61.6,54,891,4.4,4.43,2.72
35295,0.3,Premium,H,VS2,62.5,59,473,4.23,4.28,2.66
35328,0.38,Ideal,H,VVS2,62.1,54,898,4.62,4.66,2.88
35475,0.39,Ideal,G,VVS2,60.7,55,902,4.75,4.78,2.89
35514,0.4,Ideal,H,VVS2,61.4,55.7,905,4.72,4.77,2.92
35576,0.35,Ideal,F,VS2,60.8,57,906,4.56,4.52,2.76
35605,0.31,Very Good,H,VVS1,63.3,58,907,4.32,4.28,2.72
35643,0.31,Ideal,G,VVS2,62.4,56,907,4.36,4.33,2.71
35673,0.37,Ideal,G,VVS2,62,56,909,4.62,4.64,2.87
35760,0.44,Ideal,I,VVS2,60.8,56,912,4.9,4.93,2.99
35766,0.4,Ideal,E,VS2,62.3,56,912,4.72,4.75,2.95
35828,0.41,Very Good,H,VS2,60,57,915,4.92,4.88,2.94
35843,0.34,Very Good,G,IF,59.4,56,917,4.59,4.63,2.74
35943,0.33,Ideal,G,SI1,61.3,56,475,4.45,4.49,2.74
36034,0.41,Premium,G,SI1,60.3,60,923,4.8,4.76,2.88
36063,0.31,Ideal,G,IF,61.6,55,924,4.34,4.39,2.69
36154,0.33,Ideal,E,VS2,62.3,57,928,4.43,4.4,2.75
36207,0.33,Ideal,F,VVS1,61.4,57,932,4.49,4.47,2.75
36277,0.3,Ideal,G,SI1,62.3,56,477,4.27,4.3,2.67
36317,0.32,Premium,G,VVS2,60.2,60,936,4.45,4.42,2.67
36376,0.31,Premium,F,VVS1,59.9,59,940,4.45,4.43,2.66
36397,0.31,Ideal,E,VS1,61.9,56,942,4.34,4.32,2.68
36431,0.31,Ideal,D,VS2,61.9,56,942,4.38,4.37,2.71
36478,0.43,Premium,G,VS1,61.8,59,943,4.83,4.88,3
36601,0.32,Ideal,G,SI1,61.3,56,477,4.39,4.42,2.7
36721,0.41,Very Good,E,VS1,63.2,59,954,4.71,4.75,2.99
36745,0.41,Good,E,VS1,61.3,61,954,4.77,4.79,2.93
36805,0.3,Ideal,G,IF,62.1,55,956,4.35,4.31,2.69
36841,0.37,Very Good,G,VS1,63.1,56,957,4.59,4.57,2.89
36883,0.31,Ideal,E,IF,62.2,53,958,4.35,4.4,2.72
36886,0.34,Ideal,F,VVS1,61.7,55,959,4.51,4.5,2.78
36984,0.24,Ideal,F,VVS1,61.1,56,963,4.01,4.05,2.47
36985,0.5,Very Good,J,SI1,63.3,60,963,4.99,4.97,3.15
37049,0.31,Ideal,E,VS1,61.2,55,967,4.42,4.4,2.7
37136,0.42,Ideal,G,SI2,60.9,56,971,4.87,4.89,2.97
37138,0.33,Ideal,F,IF,61.3,55,971,4.48,4.49,2.75
37260,0.31,Premium,F,IF,61.9,58,977,4.39,4.36,2.71
37281,0.23,Ideal,H,VVS1,61.1,55,484,3.98,4.01,2.44
37346,0.31,Premium,F,VVS1,59.4,58,982,4.45,4.41,2.63
37599,0.23,Very Good,E,VVS2,59,63,485,3.98,4.05,2.37
37774,0.41,Ideal,E,VS2,62.3,56,999,4.77,4.74,2.96
37783,0.38,Premium,E,VS1,60.7,59,1000,4.65,4.7,2.84
37815,0.52,Premium,G,SI2,62.5,59,1001,5.1,5.07,3.18
37816,0.36,Ideal,D,VS1,61.8,55,1002,4.58,4.54,2.82
37852,0.46,Fair,G,VS2,65.3,56,1002,4.83,4.76,3.13
37861,0.44,Ideal,E,VS2,61.9,55,1003,4.86,4.89,3.02
37921,0.23,Very Good,E,VVS1,63.3,57,485,3.88,3.95,2.48
37967,0.41,Very Good,F,VS1,60.8,58,1007,4.76,4.82,2.91
38006,0.43,Very Good,F,VS1,63.4,57,1008,4.8,4.76,3.03
38060,0.38,Ideal,E,VVS2,62.5,53,1013,4.62,4.66,2.9
38141,0.3,Ideal,G,VVS1,62.6,54,1013,4.28,4.25,2.67
38173,0.42,Ideal,E,VS1,61.7,57,1014,4.78,4.81,2.96
38196,0.5,Very Good,D,SI2,63.1,56,1015,5.05,4.96,3.16
38411,0.35,Premium,G,VVS2,62.2,58,1024,4.54,4.49,2.81
38498,0.42,Ideal,G,VVS2,62.7,56,1031,4.74,4.77,2.98
38567,0.4,Ideal,H,VS1,61.8,56,1035,4.78,4.74,2.94
38592,0.43,Ideal,G,VVS1,61.4,57,1037,4.85,4.89,2.99
38595,0.45,Fair,F,VS2,64.2,58,1037,4.9,4.75,3.1
38624,0.31,Premium,I,VS1,62.6,59,489,4.29,4.33,2.7
38647,0.44,Premium,H,VS2,61.3,58,1040,4.91,4.88,3
38656,0.42,Ideal,D,SI1,62,55,1040,4.84,4.83,3
38679,0.3,Ideal,D,VVS2,61.7,57,1041,4.3,4.32,2.66
38685,0.3,Ideal,F,VVS1,61.7,57,1041,4.28,4.31,2.65
38723,0.41,Premium,H,VVS1,60.4,58,1043,4.79,4.85,2.91
38789,0.31,Premium,G,VVS1,59.5,60,1046,4.41,4.39,2.62
38797,0.31,Ideal,G,VVS1,61.6,56,1046,4.39,4.35,2.69
39007,0.4,Ideal,E,VVS2,61.6,56,1056,4.78,4.73,2.93
39009,0.4,Ideal,E,VVS2,61.5,55,1056,4.79,4.77,2.94
39035,0.41,Ideal,H,SI1,61.3,55,1056,4.81,4.85,2.96
39156,0.36,Ideal,F,IF,61.4,56,1063,4.57,4.61,2.82
39193,0.4,Ideal,D,VS1,62.3,54,1064,4.7,4.74,2.94
39299,0.3,Ideal,I,VS1,62,58,491,4.28,4.3,2.66
39318,0.38,Ideal,F,VVS1,61,57,1070,4.66,4.69,2.85
39392,0.55,Ideal,I,SI1,61.4,54,1076,5.3,5.35,3.27
39505,0.51,Ideal,J,VS2,62.5,57,1080,5.04,5.08,3.16
39603,0.35,Ideal,I,SI1,62.2,54,491,4.52,4.55,2.82
39648,0.47,Very Good,F,SI1,63.3,60,1086,4.98,4.94,3.14
39666,0.42,Premium,G,VS2,60.1,61,1087,4.86,4.79,2.9
39737,0.38,Ideal,D,VS1,62.1,53.9,1092,4.65,4.67,2.9
39779,0.36,Ideal,D,VS2,60.6,57,1094,4.61,4.57,2.78
39811,0.5,Very Good,E,SI2,59.9,57,1097,5.12,5.16,3.08
39840,0.52,Ideal,H,SI1,61.9,56,1098,5.16,5.22,3.2
39845,0.41,Ideal,H,IF,61.1,54,1099,4.8,4.85,2.95
39884,0.42,Ideal,G,VVS2,62.1,57,1103,4.8,4.77,2.97
39905,0.49,Premium,H,VS2,59.5,62,1103,5.14,5.12,3.05
39927,0.42,Ideal,E,VS1,61.6,57,1105,4.8,4.84,2.97
39937,0.24,Very Good,D,VVS2,62.9,59,492,3.95,3.97,2.49
39940,0.24,Very Good,D,VVS1,61.9,54,492,3.99,4.02,2.48
40003,0.41,Ideal,F,VS2,61.8,57,1107,4.79,4.75,2.95
